127.0.0.1 - - [31/Jan/2018:15:59:16 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:25:33 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:26:17 +0900] "POST /HelloJSP/greeting-out.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:26:20 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:26:24 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:26:34 +0900] "GET /HelloJSP/index.jsp HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:26:37 +0900] "POST /HelloJSP/greeting-out.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:26:47 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:44:06 +0900] "GET /HelloJSP/index.jsp HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:44:10 +0900] "POST /HelloJSP/greeting-out.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:44:13 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 500 3237
0:0:0:0:0:0:0:1 - - [31/Jan/2018:17:44:21 +0900] "POST /HelloJSP/total-out.jsp HTTP/1.1" 200 312
